clear
[H[2J[3Jgcc -o prog *.c -lm
./prog ./input/N10000_S50_C300_M10.txt ./output/saida.txt
---- RTT 82 ----
48 ( 2.075397 )
78 ( 2.362886 )
102 ( 2.462569 )
133 ( 1.621683 )
191 ( 2.077022 )
275 ( 2.342095 )
289 ( 2.379251 )
307 ( 1.828524 )
335 ( 2.502057 )
364 ( 2.862202 )
456 ( 2.258080 )
490 ( 2.545859 )
513 ( 2.288654 )
534 ( 2.414128 )
574 ( 2.653084 )
627 ( 1.909570 )
644 ( 2.417220 )
673 ( 2.629633 )
743 ( 2.737075 )
764 ( 2.343443 )
819 ( 2.051997 )
874 ( 1.738988 )
911 ( 2.220682 )
913 ( 2.037221 )
975 ( 3.226665 )
993 ( 2.262970 )
1067 ( 1.968119 )
1113 ( 2.293734 )
1175 ( 2.960404 )
1184 ( 2.220479 )
1210 ( 2.421474 )
1229 ( 2.474933 )
1245 ( 2.795087 )
1279 ( 2.494992 )
1336 ( 2.278256 )
1369 ( 2.862165 )
1445 ( 2.357539 )
1517 ( 2.414547 )
1565 ( 3.388286 )
1570 ( 3.153724 )
1590 ( 2.223230 )
1597 ( 3.431821 )
1599 ( 2.224194 )
1665 ( 1.851837 )
1693 ( 2.467164 )
1733 ( 2.162233 )
1773 ( 3.985613 )
1788 ( 2.506169 )
1816 ( 2.832049 )
1871 ( 3.019113 )
1920 ( 3.138330 )
1929 ( 2.653280 )
1952 ( 2.277093 )
1968 ( 2.500581 )
1980 ( 2.728955 )
2082 ( 3.339508 )
2102 ( 2.828054 )
2106 ( 2.223152 )
2228 ( 3.266927 )
2229 ( 2.501598 )
2296 ( 2.625143 )
2322 ( 3.197110 )
2354 ( 2.513931 )
2359 ( 2.461372 )
2455 ( 2.777454 )
2458 ( 2.655373 )
2497 ( 2.747102 )
2500 ( 1.550556 )
2504 ( 2.657783 )
2505 ( 2.522399 )
2531 ( 2.381668 )
2609 ( 2.910879 )
2669 ( 2.642425 )
2744 ( 2.968460 )
2762 ( 2.324506 )
2805 ( 3.646878 )
2870 ( 3.408269 )
2922 ( 2.468731 )
2934 ( 2.326576 )
2997 ( 3.106935 )
3037 ( 3.094978 )
3058 ( 3.017118 )
3090 ( 3.205534 )
3102 ( 2.396706 )
3107 ( 2.843083 )
3217 ( 2.636227 )
3265 ( 2.522255 )
3318 ( 3.417209 )
3365 ( 2.880969 )
3408 ( 2.315846 )
3418 ( 3.756182 )
3449 ( 2.783518 )
3528 ( 2.973689 )
3577 ( 3.574533 )
3647 ( 3.060807 )
3733 ( 2.125459 )
3819 ( 3.502285 )
3824 ( 2.290376 )
3843 ( 3.633379 )
3865 ( 2.404638 )
3868 ( 2.258560 )
3949 ( 2.624169 )
3976 ( 2.483579 )
3988 ( 3.086386 )
3998 ( 2.419811 )
4011 ( 3.230680 )
4020 ( 2.257996 )
4025 ( 2.425645 )
4031 ( 2.755129 )
4036 ( 1.474417 )
4043 ( 2.929656 )
4054 ( 2.988648 )
4063 ( 1.987195 )
4071 ( 2.486830 )
4079 ( 3.669204 )
